location,title,company,salary,summary
"Hamilton, ON",Data Scientist (junior or intermediate),Preteckt,90000.0,"You’ll have access to a huge set (over 250 million miles) of densely-sampled, on-the-road data from cars, trucks, and buses including vehicle sensors,…"
"Burnaby, BC",Machine Learning Engineer (Wireless),Bluvec Technoligies Inc.,95000.0,"With core designers from Microsoft, Viavi, Fortinet and Dali wireless etc., we focus on designing IOT security products which provide detection, localization,…"
"Kitchener, ON",Junior Data Scientist/Data Engineer,Acerta Analytics Solutions Inc,70000.0,Assist with data feasibility and similar data quality assessment requests from the sales team.Acerta’s machine learning platforms leverage automotive assembly…
"Toronto, ON",Data Scientist / Machine Learning Engineer,Leadbright Inc.,67500.0,"Create and visualize data using our charting technologies.Experience in full stack data science is preferred.Job Types: Full-time, Permanent."
"Toronto, ON",Data Scientist/Analyst 120,Foilcon,192000.0,"Strong business and data analysis skills.Experience in dealing with large and diverse data assets, and in identifying the suitability of specific data sets to…"
"Toronto, ON",Analytics Client Lead and Development,Advanced Analytics and Research Lab,60068.0,"Attend analytics, data science, AI and industry conferences and workshops, developing your own network.Advanced Analytics and Research Lab (AAARL)."
"Toronto, ON",Analytics Consultant,Advanced Analytics and Research Lab,112737.0,"Has experiences in data visualization, such as Tableau, PowerBI or Qlik.Attend analytics, data science, AI and industry conferences and workshops, developing…"
"North York, ON",Data Analyst,Poros Career,51500.0,"Use data mining, model building, and other analytical techniques to develop new datasets and data driven solutions.Use python to perform data visualization."
"Toronto, ON","Lead Educator, Data Science",Juno College,100000.0,You have strong business acumen and are able to think strategically when growing the data program portfolio.You have deep expertise in querying and programming…
"Toronto, ON",Manager Analytics Reporting,HollandGroupFinancial,100000.0,"Development and implementation for data integration solutions using SQL, SAS and other data management software.Financial Analysis: 5 years (Required)."
"Montréal, QC",Senior Machine Learning Developer - Computer Vision,HookMotion,85000.0,"Data science: 5 years (Preferred).For your first project, you will work on our TableMotion AI product.This product detects fraud, payment errors and *card…"
"Montréal, QC","Senior Product Manager, Machine Learning Automation",Tempo Software Inc.,91244.0,"Required experience in Machine Learning and/or data science product development.We are looking for someone passionate and experienced in enterprise data,…"
"Montréal, QC","Senior Product Manager, Machine Learning Automation",Tempo Software Inc.,91244.0,"We are always looking for new talent to join us in our mission to optimize time tracking. As one of the largest, award-winning, and top-selling app vendors in…"
"Vancouver, BC","Python, AI, Machine Learning with mathematical background",Nidish LLC,144000.0,"Python, AI, Machine Learning with mathematical background - (4-5 years).Job Types: Full-time, Permanent, Temporary.Temporarily due to COVID-19."
"Vancouver, BC","Analyst, Business Intelligence",CPA Western School of Business,57100.0,"Experience with data sourcing, data transformation, data load, data integration and conversion processes;3+ years experience with data analytics;"
"Calgary, AB",Data Scientist,Medlior Health Outcomes Research Ltd.,89028.0,"O Ensuring data security at Medlior (backing up data, code, etc.).O Development and implementation of SOPs for Medlior data analytics."
"Calgary, AB",Data Scientist - Calgary AB,Teknobuilt,60000.0,"The Data Scientists will work closely with the industrial subject matter experts, engineers, data analytics teams, data scientists/engineers, and data warehouse…"
"Calgary, AB",Enterprise Database Administrator with Machine Learning,A4 Systems Corporation,100000.0,Assess the effectiveness and accuracy of new data sources and data gathering techniques.We increase customer data understanding and connectedness by turning…
"Ottawa, ON",data scientist,High Tech Genesis,90000.0,Management Systems (erp or db).
"Ottawa, ON",Data Scientist,Mastech InfoTrellis,87384.5,"Should have at least 2 months functional experience with ontology-based data ingestion algorithms (e.g., “Smart Ingestion”).Job Types: Full-time, Contract."
"Mississauga, ON",Machine Learning Engineer,Savormetrics Inc.,86270.0,Our sensing devices are used to detect quality characteristics for food and ag products.The Machine Learning Engineer will immediately contribute to the team…
"Cambridge, MA 02142 (MIT area)",Data & Database Security Architect,Cambridge Mobile Telematics,165100.0,"Prior cloud-based data protection experience.Design, document, and implement systems to control and audit individual access and privileged access to specific…"
"Peabody, MA 01960",Senior Data Science Engineer,Analogic,165100.0,"Analyzes data sets to find trends and creates algorithms to extract the features representing those trends.Experience managing and analyzing data using MATLAB,…"
"Cambridge, MA",Cloud AI Engineer,"Matrix Technology Group, LLC",192024.0,Broad understanding/ experience in big data technologies like Hadoop/Hive/ Spark.You are familiar or invested in learning open source distributed data…
"Norwood, MA 02062",“Artificial Intelligence” Virtual Curriculum Developer,EXPLO Pre College and Career Exploration,106680.0,"Culminating project in the areas of data training and implicit bias.Machine learning, algorithms, deep learning.Artificial Intelligence: 3 years (Required)."
"Boston, MA","Principal Researcher (AI, Machine Learning, Statistics, Prob...",Barnstorm Research Corporation,165100.0,"As part of our team you will be responsible for: designing, implementing testing and analyzing advanced planning, data analytics and machine learning algorithms…"
"Pittsburgh, PA",Statistical Programmer,Amador Bioscience Inc,127000.0,3-4 years experienced in data analysis.Collaborating with project leaders and statisticians on study protocol design and lab data evaluation (eg ADA cutpoint).
"Atlanta, GA",Data Scientist/Machine Learning,"Sognef, Inc.",97669.35,Implement bioinformatics and biostatistics efforts within machine learning platform to align towards specific form of data outputted by technology and clinical…
"Alpharetta, GA",Machine Learning Architect,CEDENT,161925.0,"Engineer large scale development systems using full-stack, distributed shallow and deep-learning technologies and big data technologies."
"Fort Lauderdale, FL 33301 (Downtown area)",Senior Business Data Analyst,Leeds Resources,88900.0,Strong ability to derive insights from data.QA telemetry implementation to ensure data from gameplay is posting accurately.
